,kepid,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag,habitable
60,2713049,1.0,0,0,0,0,2.539183147,5.073e-06,-5.073e-06,169.67494,0.0016,-0.0016,0.238,0.198,-0.238,2.4282,0.0559,-0.0559,382.1,11.4,-11.4,2.06,0.29,-0.28,1332.0,,,743.09,290.34,-212.44,38.9,1.0,5519.0,82.0,-74.0,4.35,0.126,-0.103,1.062,0.154,-0.14,291.43997,37.905659,15.026,1.0
61,3114167,1.0,0,0,0,0,6.770300385,9.537e-06,-9.537e-06,170.57662,0.00108,-0.00108,0.838,0.083,-0.589,2.0844,0.0454,-0.0454,1304.0,29.7,-29.7,2.77,0.46,-0.15,812.0,,,102.87,53.88,-21.24,50.8,1.0,5653.0,166.0,-166.0,4.656,0.028,-0.112,0.679,0.112,-0.037,290.87051,38.273628,15.591,1.0
62,3115833,1.0,0,0,0,0,10.181584004,6.188e-06,-6.188e-06,177.141891,0.000483,-0.000483,0.92,0.007,-0.005,3.5089,0.0331,-0.0331,5741.1,53.2,-53.2,7.73,2.17,-0.72,812.0,,,102.91,86.75,-28.91,183.6,1.0,5988.0,179.0,-197.0,4.541,0.048,-0.192,0.836,0.234,-0.078,291.28195,38.241669,15.657,1.0
63,4139816,1.0,0,0,0,0,20.06036336,5.839e-05,-5.839e-05,147.46554,0.00241,-0.00241,0.556,0.323,-0.368,3.3203,0.0754,-0.0754,1494.7,45.1,-45.1,1.96,0.13,-0.16,361.0,,,4.0,0.89,-0.9,35.2,2.0,3950.0,70.0,-86.0,4.754,0.042,-0.031,0.493,0.033,-0.04,286.07913,39.27832,15.954,1.0
64,4139816,1.0,0,0,0,0,46.1842039,0.0002654,-0.0002654,165.23729,0.0043,-0.0043,0.013,0.415,-0.013,4.758,0.13,-0.13,1394.7,56.4,-56.4,1.83,0.12,-0.15,273.0,,,1.32,0.29,-0.3,26.0,3.0,3950.0,70.0,-86.0,4.754,0.042,-0.031,0.493,0.033,-0.04,286.07913,39.27832,15.954,1.0
65,4139816,1.0,0,0,0,0,46.1842039,0.0002654,-0.0002654,165.23729,0.0043,-0.0043,0.013,0.415,-0.013,4.758,0.13,-0.13,1394.7,56.4,-56.4,1.83,0.12,-0.15,273.0,,,1.32,0.29,-0.3,26.0,3.0,3950.0,70.0,-86.0,4.754,0.042,-0.031,0.493,0.033,-0.04,286.07913,39.27832,15.954,1.0
66,8395660,0.952,0,0,0,0,23.9800854,0.0002003,-0.0002003,147.537,0.00647,-0.00647,0.95,0.004,-0.66,5.351,0.177,-0.177,104.0,6.5,-6.5,1.31,0.2,-0.13,649.0,,,41.94,17.84,-10.73,17.1,4.0,5854.0,105.0,-117.0,4.406,0.09,-0.11,1.012,0.154,-0.103,300.86398,44.337551,12.882,1.0
67,4139816,0.994,0,0,0,0,7.82502168,3.89e-05,-3.89e-05,136.54995,0.00436,-0.00436,0.708,0.234,-0.487,2.186,0.12,-0.12,520.8,36.4,-36.4,1.2,0.08,-0.1,494.0,,,14.05,3.1,-3.19,15.9,4.0,3950.0,70.0,-86.0,4.754,0.042,-0.031,0.493,0.033,-0.04,286.07913,39.27832,15.954,1.0
68,4275191,1.0,0,0,0,0,3.895936525,7.71e-07,-7.71e-07,170.527552,0.000157,-0.000157,0.524,0.069,-0.237,2.3111,0.0302,-0.0302,8544.8,29.5,-29.5,7.34,1.53,-0.65,1005.0,,,241.62,155.31,-64.19,370.8,1.0,5557.0,167.0,-167.0,4.592,0.034,-0.136,0.774,0.161,-0.069,294.65524,39.308361,15.725,1.0
69,4476123,0.999,0,0,0,0,22.36646466,9.761e-05,-9.761e-05,175.45862,0.00354,-0.00354,0.4,0.066,-0.4,5.228,0.122,-0.122,986.8,35.1,-35.1,2.32,0.38,-0.16,536.0,,,19.45,10.29,-4.56,32.1,1.0,5395.0,160.0,-160.0,4.615,0.032,-0.104,0.734,0.122,-0.052,294.71063,39.52174,15.583,1.0
70,3351888,1.0,0,0,0,0,1.625522174,1.58e-07,-1.58e-07,170.8266564,7.61e-05,-7.61e-05,0.076,0.022,-0.076,2.38963,0.00338,-0.00338,7969.0,11.8,-11.8,9.73,1.41,-1.42,1579.0,,,1467.41,576.36,-452.24,799.7,1.0,5539.0,83.0,-74.0,4.322,0.137,-0.1,1.106,0.161,-0.161,293.87192,38.422939,15.001,1.0
71,3453214,1.0,0,0,0,0,19.620346923,3.73e-06,-3.73e-06,181.881819,0.000148,-0.000148,0.458,0.08,-0.165,2.0038,0.0292,-0.0292,21725.0,85.0,-85.0,13.6,1.82,-0.92,643.0,,,40.39,14.34,-7.31,340.5,1.0,5710.0,76.0,-85.0,4.492,0.048,-0.112,0.905,0.121,-0.061,293.81619,38.563568,15.562,1.0
72,3641726,1.0,0,0,0,0,9.02930689,1.648e-05,-1.648e-05,177.20422,0.00142,-0.00142,0.024,0.401,-0.024,3.1449,0.0528,-0.0528,1019.8,21.9,-21.9,2.57,0.44,-0.26,757.0,,,77.75,43.01,-22.28,53.9,1.0,5349.0,167.0,-167.0,4.526,0.063,-0.108,0.82,0.141,-0.082,290.33362,38.72823,15.387,1.0
73,3832474,1.0,0,0,0,0,143.2063047,0.0002348,-0.0002348,154.23552,0.0013,-0.0013,0.379,0.073,-0.273,8.9302,0.0961,-0.0961,10566.0,82.4,-82.4,8.9,0.82,-0.38,308.0,,,2.14,0.59,-0.35,138.8,2.0,5485.0,98.0,-120.0,4.556,0.014,-0.081,0.867,0.079,-0.037,285.28363,38.947281,15.403,1.0
74,8395660,0.95,0,0,0,0,6.164876,4.635e-05,-4.635e-05,135.63916,0.00661,-0.00661,0.646,0.323,-0.43,3.262,0.186,-0.186,55.8,4.3,-4.3,0.79,0.13,-0.08,1021.0,,,256.35,109.03,-65.57,14.4,3.0,5854.0,105.0,-117.0,4.406,0.09,-0.11,1.012,0.154,-0.103,300.86398,44.337551,12.882,1.0
75,3832474,0.745,0,0,0,0,60.32494216,3.207e-05,-3.207e-05,243.892578,0.000423,-0.000423,0.224,0.067,-0.146,6.6188,0.0327,-0.0327,20280.0,64.0,-64.0,12.19,1.11,-0.52,411.0,,,6.77,1.89,-1.09,347.2,1.0,5485.0,98.0,-120.0,4.556,0.014,-0.081,0.867,0.079,-0.037,285.28363,38.947281,15.403,1.0
76,3832474,,0,0,0,0,29.1598615,0.0002534,-0.0002534,150.69922,0.00718,-0.00718,0.3619,0.0945,-0.3618,4.803,0.2,-0.2,488.0,43.5,-43.5,1.91,0.2,-0.07,524.0,,,17.85,5.61,-2.68,11.6,,5485.0,99.0,-112.0,4.556,0.014,-0.094,0.867,0.092,-0.034,285.28363,38.947281,15.403,1.0
77,3935914,1.0,0,0,0,0,1.594745374,1.13e-07,-1.13e-07,170.6483505,5.79e-05,-5.79e-05,0.514,0.022,-0.037,1.9604,0.0106,-0.0106,15044.0,20.3,-20.3,11.3,3.09,-1.33,1539.0,,,1329.42,1067.75,-412.98,1009.3,1.0,5934.0,160.0,-178.0,4.491,0.065,-0.195,0.893,0.244,-0.105,285.21381,39.027481,15.53,1.0
78,3940418,1.0,0,0,0,0,4.783002698,5.432e-06,-5.432e-06,170.508434,0.000943,-0.000943,0.003,0.425,-0.003,2.335,0.0332,-0.0332,1008.7,16.6,-16.6,2.5,0.34,-0.19,886.0,,,145.48,66.39,-35.12,70.6,1.0,5170.0,155.0,-155.0,4.574,0.026,-0.097,0.807,0.111,-0.06,287.09399,39.060719,15.119,1.0
79,4049131,1.0,0,0,0,0,20.50588921,3.206e-05,-3.206e-05,181.43428,0.00122,-0.00122,0.26,0.151,-0.26,4.0595,0.0481,-0.0481,2105.5,31.0,-31.0,3.41,0.28,-0.31,518.0,,,17.06,5.47,-4.61,78.5,1.0,4905.0,148.0,-148.0,4.544,0.072,-0.044,0.761,0.063,-0.07,289.31543,39.153278,15.398,1.0
80,4139816,1.0,0,0,0,0,3.340218842,3.177e-06,-3.177e-06,171.979062,0.00075,-0.00075,0.466,0.002,-0.437,1.9104,0.0318,-0.0318,1632.6,26.6,-26.6,2.03,0.13,-0.17,656.0,,,43.73,9.67,-9.92,71.6,1.0,3950.0,70.0,-86.0,4.754,0.042,-0.031,0.493,0.033,-0.04,286.07913,39.27832,15.954,1.0
